Method,Sensor,Representation,Year,Month,AP2D ,AP2D ,AP2D ,AP3D,AP3D,AP3D,APBEV,APBEV,APBEV,NuScenes,NuScenes,Waymo,Waymo,Time (s),Code,Hardware,Paper
MonoDLE,Camera,Monocular,2021,Mar,93.83,90.81,80.93,17.23,12.26,10.29,24.79,18.89,16,-,-,-,-,0.04,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2103.16237
M3DSSD,Camera,Monocular,2021,Mar,-,-,-,17.51,11.46,8.98,24.15,15.93,12.11,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2103.13164
CaDDN,Camera,Monocular,2021,Mar,93.61,80.73,71.09,19.17,13.41,11.46,27.94,18.91,17.19,-,-,-,-,0.63,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2103.01100
MonoFlex,Camera,Monocular,2021,Apr,96.01,91.02,83.38,19.94,13.89,12.07,28.23,19.75,16.89,-,-,-,-,0.03,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2104.02323
MonoRCNN,Camera,Monocular,2021,Apr,91.9,86.48,66.71,18.36,12.65,10.03,25.48,18.11,14.1,-,-,-,-,0.07,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2104.03775
FCOS3D,Camera,Monocular,2021,Apr,-,-,-,-,-,-,-,-,-,35.8,42.8,-,-,-,TRUE,-,https://arxiv.org/abs/2104.10956
MonoEF,Camera,Monocular,2021,Jun,96.32,90.88,83.27,21.29,13.87,11.71,29.03,19.7,17.26,-,-,-,-,0.03,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2106.15796
GUPNet,Camera,Monocular,2021,Jul,94.15,86.45,74.18,22.26,15.02,13.12,30.29,21.19,18.2,-,-,-,-,NA,TRUE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2107.13774
PGD,Camera,Monocular,2021,Jul,92.04,80.58,69.67,19.05,11.76,9.39,26.89,16.51,13.49,38.6,44.8,-,-,0.03,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2107.14160
MonoGeo,Camera,Monocular,2021,Jul,-,-,-,18.85,13.81,11.52,25.86,18.99,16.19,-,-,-,-,-,FALSE,-,https://www.researchgate.net/publication/353567872_Learning_Geometry-Guided_Depth_via_Projective_Modeling_for_Monocular_3D_Object_Detection
Aug3D-RPN,Camera,Monocular,2021,Jul,85.57,77.88,61.16,17.82,12.99,9.78,26,17.89,14.18,-,-,-,-,0.08,FALSE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2107.13269
DD3D,Camera,Monocular,2021,Aug,94.69,93.99,89.37,23.19,16.87,14.36,32.35,23.41,20.42,41.8,47.7,-,-,n/a,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2108.06417
PCT,Camera,Monocular,2021,Aug,96.45,88.78,78.85,21,13.37,11.31,29.65,19.03,15.92,-,-,0.89,0.66,0.045,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/pdf/2108.05793
Autoshape,Camera,Monocular,2021,Aug,86.51,77.6,64.4,22.47,14.17,11.36,30.66,20.08,15.95,-,-,-,-,0.04,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2108.11127
PG-MonoNEt,Camera,Monocular,2021,Aug,-,-,-,15.91,11.51,9.01,-,-,-,-,-,-,-,-,FALSE,-,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9525165
Neighbour-Vote,Camera,Monocular,2021,Oct,0,0,0,15.57,9.9,8.89,27.39,18.65,16.54,-,-,-,-,0.1,TRUE,GPU @ 2.5 Ghz (Python),https://dl.acm.org/doi/10.1145/3474085.3475641
MonoCinIS,Camera,Monocular,2021,Oct,96.05,90.6,82.43,15.82,7.94,6.68,22.28,11.64,9.95,-,-,-,-,0.13,FALSE,GPU @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2110.00464
Pseudo-Analysis / Patch-Net,Camera,Monocular,2021,Oct,-,-,-,22.4,12.53,10.64,-,-,-,-,-,-,-,-,FALSE,-,https://openaccess.thecvf.com/content/ICCV2021/papers/Simonelli_Are_We_Missing_Confidence_in_Pseudo-LiDAR_Methods_for_Monocular_3D_ICCV_2021_paper.pdf
DLE,Camera,Monocular,2021,Nov,94.66,84.45,62.1,24.23,14.33,10.3,31.09,19.05,14.13,-,-,-,-,0.06,FALSE,NVIDIA Tesla V100,https://www.bmvc2021-virtualconference.com/assets/papers/0299.pdf
DFRNet,Camera,Monocular,2021,Dec,90.13,78.81,60.4,19.4,13.63,10.35,28.17,19.17,14.84,-,-,-,-,0.18,FALSE,1080 Ti (Pytorch),https://arxiv.org/abs/2112.14023
MonoCon,Camera,Monocular,2021,Dec,-,-,-,22.5,16.46,13.95,31.12,22.1,19,-,-,-,-,-,TRUE,-,https://arxiv.org/pdf/2112.04628
SGM3D * stereo,Camera,Monocular,2021,Dec,93.66,83.05,73.35,22.46,14.65,12.97,31.49,21.37,18.43,-,-,-,-,0.03,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/pdf/2112.01914
MonoDistill,Camera,Monocular,2022,Jan,-,-,-,22.97,16.03,13.6,31.87,22.59,19.72,-,-,-,-,-,TRUE,-,https://arxiv.org/pdf/2201.10830
MonoDTR,Camera,Monocular,2022,Mar,93.9,88.41,76.2,21.99,15.39,12.73,28.59,20.38,17.14,-,-,-,-,0.04,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2203.10981
MonoDETR,Camera,Monocular,2022,Mar,93.99,86.17,76.19,24.52,16.26,13.93,32.2,21.45,18.68,-,-,-,-,0.04,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2203.13310
MonoJSG,Camera,Monocular,2022,Mar,-,-,-,24.69,16.14,13.64,32.59,21.26,18.18,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2203.08563
Rope3D (Dataset),Camera,Monocular,2022,Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2203.13608
WeakM3D,Camera,Monocular,2022,Mar,94.51,91.81,85.35,5.03,2.26,1.63,11.82,5.66,4.08,-,-,-,-,0.08,FALSE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2203.08332
HomoLoss,Camera,Monocular,2022,Apr,95.92,90.69,80.91,21.75,14.94,13.07,29.6,20.68,17.81,-,-,-,-,0.04,FALSE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2204.00754
STMono3D,Camera,Monocular,2022,Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/pdf/2204.11590
MonoDDE,Camera,Monocular,2022,May,96.76,89.19,81.6,24.93,17.14,15.1,33.58,23.46,20.37,-,-,-,-,0.04,FALSE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2205.09373
Time3D,Camera,Monocular,2022,May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/pdf/2205.14882
MonoGround,Camera,Monocular,2022,Jun,-,-,-,21.37,14.36,12.62,30.07,20.47,17.74,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2206.07372
DimEmbedding,Camera,Monocular,2022,Jun,-,-,-,23.62,16.1,13.41,32.82,21.98,18.7,-,-,-,-,-,FALSE,-,https://openaccess.thecvf.com//content/CVPR2022/papers/Zhang_Dimension_Embeddings_for_Monocular_3D_Object_Detection_CVPR_2022_paper.pdf
Mix-Teaching,Camera,Monocular,2022,Jul,96.35,91.02,83.41,26.89,18.54,15.79,35.74,24.23,20.8,-,-,-,-,30,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2207.04448
DCD,Camera,Monocular,2022,Jul,96.44,90.93,83.36,23.81,15.9,13.21,32.55,21.5,18.25,-,-,-,-,0.03,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2207.10047
DEVIANT,Camera,Monocular,2022,Jul,94.42,86.64,76.69,21.88,14.46,11.89,29.65,20.44,17.43,-,-,-,-,0.04,TRUE,1 GPU (Python),https://arxiv.org/abs/2207.10758
Cube R-CNN,Camera,Monocular,2022,Jul,95.78,92.72,84.81,23.59,15.01,12.06,31.7,21.2,18.43,-,-,-,-,0.05,TRUE,GPU @ 2.5 Ghz (Python),https://openaccess.thecvf.com/content/CVPR2023/html/Brazil_Omni3D_A_Large_Benchmark_and_Model_for_3D_Object_Detection_CVPR_2023_paper.html
SMPL,Camera,Monocular,2022,Sep,-,-,-,-,-,-,37.42,31.05,29.13,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2209.09486
MoGDE,Camera,Monocular,2022,Oct,-,-,-,27.07,17.88,15.66,38.38,25.6,22.91,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2303.13561
DD3Dv2,Camera,Monocular,2022,Oct,-,-,-,26.36,17.61,15.32,35.7,24.67,21.73,-,-,-,-,-,TRUE,-,https://arxiv.org/pdf/2210.02493
ADD,Camera,Monocular,2022,Nov,94.82,89.53,81.6,25.61,16.81,13.79,35.2,23.58,20.08,-,-,-,-,0.1,FALSE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2211.16779
CMKD,Camera,Monocular,2022,Nov,95.14,90.28,83.91,28.55,18.69,16.77,38.98,25.82,22.8,-,-,-,-,0.1,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2211.07171
OPA-3D,Camera,Monocular,2022,Nov,96.5,88.77,76.55,24.6,17.6,14.25,33.54,22.53,19.22,-,-,-,-,0.04,FALSE,1 core @ 3.5 Ghz (Python),https://arxiv.org/abs/2211.01142
GPENet,Camera,Monocular,2022,Nov,-,-,-,22.41,15.44,12.84,30.31,20.79,18.21,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2211.01556
MonoEdge,Camera,Monocular,2023,Jan,-,-,-,21.08,14.47,12.73,28.8,20.35,17.57,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2301.01802
Mono RCNN++,Camera,Monocular,2023,Jan,94.31,86.69,71.87,20.08,13.72,11.34,27.2,18.62,15.69,-,-,-,-,0.07,FALSE,GPU @ 2.5 Ghz (Python),https://openaccess.thecvf.com/content/WACV2023/html/Shi_Multivariate_Probabilistic_Monocular_3D_Object_Detection_WACV_2023_paper.html
MonoPGC,Camera,Monocular,2023,Feb,-,-,-,24.68,17.17,14.14,32.5,23.14,20.3,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2302.10549
MonoATT,Camera,Monocular,2023,Mar,-,-,-,24.72,17.37,15,36.87,24.42,21.88,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2303.13018
MonoXiver,Camera,Monocular,2023,Apr,-,-,-,25.24,19.04,16.39,34.14,25.37,22.2,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2304.01289
NeurOCS,Camera,Monocular,2023,May,96.39,91.08,81.2,29.89,18.94,15.9,37.27,24.49,20.89,-,-,-,-,0.1,FALSE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2305.17763
SSD-MonoDETR,Camera,Monocular,2023,May,-,-,-,24.52,17.88,15.69,33.59,24.35,21.98,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2305.07270
MonoNerd,Camera,Monocular,2023,Aug,94.6,86.89,77.23,22.75,17.13,15.63,31.13,23.46,20.97,-,-,-,-,na,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2308.09421
MonoSKD,Camera,Monocular,2023,Oct,96.68,91.34,83.69,28.43,17.35,15.01,37.12,24.08,20.37,-,-,-,-,0.04,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2310.11316
CoIn,Camera,Monocular,2023,Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://openaccess.thecvf.com/content/ICCV2023/papers/Xia_CoIn_Contrastive_Instance_Feature_Mining_for_Outdoor_3D_Object_Detection_ICCV_2023_paper.pdf
ODM3D,Camera,Monocular,2023,Nov,-,-,-,29.75,19.09,16.93,39.41,26.02,22.76,-,-,-,-,-,TRUE,-,https://arxiv.org/pdf/2310.18620
MonoUNI,Camera,Monocular,2023,Nov,94.3,88.96,78.95,24.75,16.73,13.49,33.28,23.05,19.39,-,-,-,-,0.04,FALSE,1 core @ 2.5 Ghz (Python),https://openreview.net/pdf?id=v2oGdhbKxi
DDML,Camera,Monocular,2023,Nov,-,-,-,27.04,16.42,13.37,-,-,-,-,-,-,-,-,TRUE,-,https://proceedings.neurips.cc/paper_files/paper/2023/file/fda257e65f46e21dbc117b20fd0aba3c-Paper-Conference.pdf
MonoCD,Camera,Monocular,2024,Apr,96.43,92.91,85.55,25.53,16.59,14.53,33.41,22.81,19.57,-,-,-,-,n/a,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2404.03181
MonoMAE,Camera,Monocular,2024,May,-,-,-,25.6,18.84,16.78,34.15,24.93,21.76,-,-,-,-,-,FALSE,-,https://arxiv.org/pdf/2405.07696
Dp-M3D,Camera,Monocular,2025,Apr,-,-,-,23.41,13.65,12.91,32.38,20.13,16.58,-,-,-,-,-,FALSE,-,https://pdf.sciencedirectassets.com/271505/AIP/1-s2.0-S0950705125005854/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEIj%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQDeLgsboeJGs1rj3TmdKuPfbZHnfyyG0DgqAeHMIhCK1AIgDUHXTlYHNUWqFqpdrh6LbvPpXptqzUkv4qu0lFfFsUgqsgUIERAFGgwwNTkwMDM1NDY4NjUiDGZQMC69RNuwVEoU%2FSqPBTOTY4gGGMY2K86q0xmcpP3AO4idU0qHZEGM6fky6r%2FdPCCT8Q32YNK%2Bai8I7VxosDSnfCSkvRCk0329%2B4uOxiGnDOzCkppMRupXT%2Fh8Jy50Mu4KB4Is9N7FeyKMz1XjSJTjyaAm22uvEu374Wo%2B2eiUipiesAJsMJGpUibQnez3ra6cPLYtJqYsKQohtLSS87SivrT%2Fax4v0Z8QGPOSdW379aDwrP6W4OF9W5IsLyjnt1pjgTJlvySQsPkWOj0hlI1fWIcRzVTEbMigIXMox%2FTbhsKRIdNsK0eIUqW4PuyBYguYR%2FBJkxCLqPnd%2FG9K7brO%2Bm0RiMa%2BhDh6%2F8A%2FgtKaNa9F0UDBOElGnJDPFHuvtPYetAYhWH89ziTT3DGFPDq0Gt2M%2FxQsv8rqXpPilGVV6WY3%2FghIMhkdkdoWYiHdofMyIFGwgOFQHYj1ZX3ldph8gjWCdht9I%2FdyvhR7YLNZWR73L8%2BiHzJB5nLMN2wf8NQNHJvBmZlJreSe55pNNO2Iv6rV25jQuuef2y1V7NJRrIJsodKZPZb4qCGew%2FaslO2bbqH09q9x2vlSHNFs2e1caHDGYEty8fXoFgJ7MsR1cQcXaRagNFctyTuI5plBdKzFluzapCQ%2FqaSxriCo3iIhhDThDb5cr7VcbS8I%2Bw0EGXHgZROpgNJZFP3KTcIOAF2Zx0DE8gm%2BlQVvZVtr0SZokLGy1PpkbVl4QzktyVByw7D0BgAGIA29EG7P%2B24wiZBv7pO5svs2p1teyvdhN2HK6isJyV1qtR48D2qpz1eQG%2F4usmjSihnxrFefBFGzZSC7YGft5iQwYTcTyvNAX%2FA3qUgMP4jy1J5WaxEUew7PmmSt5xaHbLy%2FzeuKx38wsv%2FyvwY6sQFPMv2hKPR4Zk2KWQUQqyqFtfG%2B3Wp%2BiludHtD4Qzi1hs4XhIyNJENivNKvSvBCraA00U9KlwUkbpYw6NicT3aZZLtsMUpbfz1x%2BGSwBetx%2B0J%2FtsWN6K8Y52RqLbT9%2BzLQ6eK6lifgJUI16taMo84OU3CySmEave7OSkYXqFy9ElcJMJMnfmxqif1sgiGVLT1D93zkC492K%2BcyL%2BDkrz3Wb8HdCF9i0m9KxQAdsRw2seQ%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250414T091149Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYVIRV4PHA%2F20250414%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=e3d5ffed60bbf60bb44f66c2ab76a314760066b6dc5833b4495dff2dc82d2290&hash=066e73a88e0ccfe8a5e2f0e7efad52603f96f88d9242a4ecbd5e3e7921ed2eff&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0950705125005854&tid=spdf-7cea839c-427c-4f37-b487-65add56cf0a7&sid=10875d013bab3146756a6931132a624e4847gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0a12595751515651055f55&rr=930213f82ce931f1&cc=pt
MonoTTA,Camera,Monocular,2024,May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/pdf/2405.19682v1
MonoDiff,Camera,Monocular,2024,Jun,-,-,-,30.18,21.02,18.16,-,-,-,-,-,-,-,-,FALSE,-,https://openaccess.thecvf.com/content/CVPR2024/papers/Ranasinghe_MonoDiff_Monocular_3D_Object_Detection_and_Pose_Estimation_with_Diffusion_CVPR_2024_paper.pdf
MonoWAD,Camera,Monocular,2024,Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/pdf/2407.16448
MonoDFNet,Camera,Monocular,2024,Nov,-,-,-,25.71,19.07,15.96,33.56,24.52,21.09,-,-,-,-,-,TRUE,-,https://www.mdpi.com/1424-8220/25/3/760
DPL,Camera,Monocular,2024,Nov,-,-,-,24.19,16.67,13.83,33.16,22.12,18.74,-,-,-,-,-,FALSE,-,https://arxiv.org/pdf/2403.17387
OVM3D,Camera,Monocular,2024,Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/pdf/2411.15657
MonoDSSM,Camera,Monocular,2024,Dec,93.96,88.31,76.15,21.47,14.55,11.78,28.29,19.59,16.34,-,-,-,-,0.02,FALSE,1 core @ 2.5 Ghz (Python + C/C++),https://openaccess.thecvf.com/content/ACCV2024/papers/Vu_MonoDSSMs_Efficient_Monocular_3D_Object_Detection_with_Depth-Aware_State_Space_ACCV_2024_paper.pdf
MonoDINO-DETR,Camera,Monocular,2025,Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2502.00315
Pseudo-LiDAR2D,Camera,Monocular,2025,Fev,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10918939&tag=1
